index,name,description,group,unit
97,SpnIntg_AB_3rd,third principal axis of AB nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
98,SpnIntg_ABa_1st,first principal axis of ABa nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
99,SpnIntg_ABa_2nd,second principal axis of ABa nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
100,SpnIntg_ABa_3rd,third principal axis of ABa nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
101,SpnIntg_ABp_1st,first principal axis of ABp nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
102,SpnIntg_ABp_2nd,second principal axis of ABp nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
103,SpnIntg_ABp_3rd,third principal axis of ABp nuclear regions at the first tiem point of mitotic phase,4 cell-8 cell,mm
104,SpnIntg_EMS_1st,first principal axis of EMS nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
105,SpnIntg_EMS_2nd,second principal axis of EMS nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
106,SpnIntg_EMS_3rd,third principal axis of EMS nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
107,SpnIntg_P0_1st,first principal axis of P0 nuclear regions at the first time point of mitotic phase,1-2 cell,mm
108,SpnIntg_P0_2nd,second principal axis of P0 nuclear regions at the first time point of mitotic phase,1-2 cell,mm
109,SpnIntg_P0_3rd,third principal axis of P0 nuclear regions at the first time point of mitotic phase,1-2 cell,mm
110,SpnIntg_P1_1st,first principal axis of P1 nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
111,SpnIntg_P1_2nd,second principal axis of P1 nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
112,SpnIntg_P1_3rd,third principal axis of P1 nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
113,SpnIntg_P2_1st,first principal axis of P2 nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
114,SpnIntg_P2_2nd,second principal axis of P2 nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
115,SpnIntg_P2_3rd,third principal axis of P2 nuclear regions at the first time point of mitotic phase,4 cell-8 cell,mm
116,SpnElng_AB_1st,first principal axis of AB nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
117,SpnElng_AB_2nd,second principal axis of AB nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
118,SpnElng_AB_3rd,third principal axis of AB nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
119,SpnElng_ABa_1st,first principal axis of ABa nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
120,SpnElng_ABa_2nd,second principal axis of ABa nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
121,SpnElng_ABa_3rd,third principal axis of ABa nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
122,SpnElng_ABp_1st,first principal axis of ABp nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
123,SpnElng_ABp_2nd,second principal axis of ABp nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
124,SpnElng_ABp_3rd,third principal axis of ABp nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
125,SpnElng_P0_1st,first principal axis of P0 nuclear regions at the last time point of mitotic phase,1-2 cell,mm
126,SpnElng_P0_2nd,second principal axis of P0 nuclear regions at the last time point of mitotic phase,1-2 cell,mm
127,SpnElng_P0_3rd,third principal axis of P0 nuclear regions at the last time point of mitotic phase,1-2 cell,mm
128,SpnElng_P1_1st,first principal axis of P1 nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
129,SpnElng_P1_2nd,second principal axis of P1 nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
130,SpnElng_P1_3rd,third principal axis of P1 nuclear regions at the last time point of mitotic phase,2 cell-4 cell,mm
131,SpnElng_EMS_1st,first principal axis of EMS nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
132,SpnElng_EMS_2nd,second principal axis of EMS nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
133,SpnElng_EMS_3rd,third principal axis of EMS nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
134,SpnElng_P2_1st,first principal axis of P2 nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
135,SpnElng_P2_2nd,second principal axis of P2 nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
136,SpnElng_P2_3rd,third principal axis of P2 nuclear regions at the last time point of mitotic phase,4 cell-8 cell,mm
137,SpnPos_AB_ap,AP position of AB spindle,2 cell-4 cell,mm
138,SpnPos_AB_dv,DV position of AB spindle,2 cell-4 cell,mm
139,SpnPos_AB_lr,LR position of AB spindle,2 cell-4 cell,mm
140,SpnDis_AB-EC,distance between AB spindle and the embryonic center,2 cell-4 cell,mm
141,SpnPos_ABa_ap,AP position of ABa spindle,4 cell-8 cell,mm
142,SpnPos_ABa_dv,DV position of ABa spindle,4 cell-8 cell,mm
143,SpnPos_ABa_lr,LR position of ABa spindle,4 cell-8 cell,mm
144,SpnDis_ABa-EC,distance between ABa spindle and the embryonic center,4 cell-8 cell,mm
145,SpnPos_ABp_ap,AP position of ABp spindle,4 cell-8 cell,mm
146,SpnPos_ABp_dv,DV position of ABp spindle,4 cell-8 cell,mm
147,SpnPos_ABp_lr,LR position of ABp spindle,4 cell-8 cell,mm
148,SpnDis_ABp-EC,distance between ABp spindle and the embryonic center,4 cell-8 cell,mm
